user_id,product_id,event_date,event_type
AG3D6O4STAQKAY2UVGEUV46KN35Q,B07232M876,2023-03-22,view
AG3D6O4STAQKAY2UVGEUV46KN35Q,B074CWD7MS,2024-01-09,view
AG3D6O4STAQKAY2UVGEUV46KN35Q,B0B3G5XZN5,2023-07-19,view
AG3D6O4STAQKAY2UVGEUV46KN35Q,B0B3G5XZN5,2023-07-19,cart
AG3D6O4STAQKAY2UVGEUV46KN35Q,B017NC2IPM,2024-10-16,view
AHMY5CWJMMK5BJRBBSNLYT3ONILA,B09GP6FBZT,2024-02-03,view
AHMY5CWJMMK5BJRBBSNLYT3ONILA,B09GP6FBZT,2024-02-03,cart
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B07NTKGW45,2023-02-28,view
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B09P182Z2H,2023-02-19,view
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B0116MIKKC,2023-01-19,view
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B07Y1RCCW5,2024-03-25,view
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B07Y1RCCW5,2024-03-25,cart
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B07Y1RCCW5,2024-03-25,purchase
AGYHHIERNXKA6P5T7CZLXKVPT7IQ,B08CTNJ985,2024-07-03,view
AGYHHIERNXKA6P5T7CZLXKVPT7IQ,B08CTNJ985,2024-07-03,cart
AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,B0974H97TJ,2024-10-08,view
AENGU523SXMOS7JPDTW52PNNVWGQ,B09MY4W73Q,2023-09-05,view
AENGU523SXMOS7JPDTW52PNNVWGQ,B00NH12R1O,2023-08-03,view
AENGU523SXMOS7JPDTW52PNNVWGQ,B084MZXJNK,2024-01-28,view
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B09GFPVD9Y,2024-12-02,view
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B08CF3B7N1,2023-03-29,view
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B08CF3B7N1,2023-03-29,cart
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B08CF3B7N1,2023-03-29,purchase
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B0B14MR9L1,2023-01-20,view
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B0B61DSF17,2024-07-11,view
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B07M69276N,2023-12-09,view
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B08RHPDNVV,2023-09-21,view
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B09HK9JH4F,2024-07-06,view
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B0B8CHJLWJ,2024-10-22,view
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B0B8CHJLWJ,2024-10-22,cart
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B0B8CHJLWJ,2024-10-22,purchase
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B0BK1K598K,2023-07-13,view
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B0BK1K598K,2023-07-13,cart
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B0BK1K598K,2023-07-13,purchase
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B08VS3YLRK,2023-07-15,view
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B08VS3YLRK,2023-07-15,cart
AECPFYFQVRUWC3KGNLJIOREFP5LQ,B0B4SJKRDF,2024-05-10,view
AGYYVPDD7YG7FYNBXNGXZJT525AQ,B08H6B3G96,2023-04-21,view
AGYYVPDD7YG7FYNBXNGXZJT525AQ,B01LY9W8AF,2023-06-28,view
AGYYVPDD7YG7FYNBXNGXZJT525AQ,B00DJ5N9VK,2024-08-26,view
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,B07WHQWXL7,2023-10-15,view
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,B07WHQWXL7,2023-10-15,cart
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,B0BCVJ3PVP,2024-11-25,view
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,B09MT94QLL,2024-04-14,view
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B0912WJ87V,2023-01-14,view
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B082ZQ4479,2024-09-20,view
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B082ZQ4479,2024-09-20,cart
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B09GFM8CGS,2024-03-02,view
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B09GFM8CGS,2024-03-02,cart
AEZ346GX3HJ4O4XNRPHCNHXQURMQ,B08TM71L54,2023-04-29,view
AEZ346GX3HJ4O4XNRPHCNHXQURMQ,B0B56YRBNT,2023-07-10,view
AEPSWFPNECKO34PUC7I56ITGXR6Q,B0BDS8MY8J,2024-10-28,view
AEPSWFPNECKO34PUC7I56ITGXR6Q,B0BLV1GNLN,2024-03-12,view
AEPSWFPNECKO34PUC7I56ITGXR6Q,B01KK0HU3Y,2024-12-12,view
AEPSWFPNECKO34PUC7I56ITGXR6Q,B09GP6FBZT,2023-02-10,view
AEPSWFPNECKO34PUC7I56ITGXR6Q,B01M0505SJ,2023-10-24,view
AHWVEHR5DYLVFTO2KF3IZATFQSWQ,B0B65P827P,2023-12-20,view
AHWVEHR5DYLVFTO2KF3IZATFQSWQ,B09ZHCJDP1,2024-04-29,view
AH4QT33M55677I7ISQOAKEQWACYQ,B09NKZXMWJ,2023-11-29,view
AH4QT33M55677I7ISQOAKEQWACYQ,B09NKZXMWJ,2023-11-29,cart
AH4QT33M55677I7ISQOAKEQWACYQ,B09NKZXMWJ,2023-11-29,purchase
AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,B0BLV1GNLN,2024-11-07,view
AESFLDV2PT363T2AQLWQOWZ4N3OA,B08CNLYKW5,2024-05-07,view
AESFLDV2PT363T2AQLWQOWZ4N3OA,B08CNLYKW5,2024-05-07,cart
AESFLDV2PT363T2AQLWQOWZ4N3OA,B08CNLYKW5,2024-05-07,purchase
AESFLDV2PT363T2AQLWQOWZ4N3OA,B0978V2CP6,2023-05-28,view
AESFLDV2PT363T2AQLWQOWZ4N3OA,B0978V2CP6,2023-05-28,cart
AESFLDV2PT363T2AQLWQOWZ4N3OA,B0978V2CP6,2023-05-28,purchase
AESFLDV2PT363T2AQLWQOWZ4N3OA,B00O2R38C4,2024-01-30,view
AESFLDV2PT363T2AQLWQOWZ4N3OA,B00O2R38C4,2024-01-30,cart
AESFLDV2PT363T2AQLWQOWZ4N3OA,B08BQ947H3,2023-02-25,view
AESFLDV2PT363T2AQLWQOWZ4N3OA,B08BQ947H3,2023-02-25,cart
AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,B0BQRJ3C47,2024-07-31,view
